plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,"Pea Aboveground Dry Biomass - g|timepoint 1			|COMP:0000118","Above ground dry biomass - g|timepoint 1			|COMP:0000110","Pea Aboveground Dry Biomass - g|timepoint 2			|COMP:0000119","Above ground dry biomass - g|timepoint 2			|COMP:0000111","Heading date - Julian day			|CO_350:0000270","Pea Flowering Date - 10% - Julian Day			|CO_xxx:0003014",
B4I_2025_PM3D_AL_401,737989,ND Spilde,401,1,,1,1,2,,48.35,,169.5,8-May,29-Apr,
B4I_2025_PM3D_AL_402,737992,SD Momentum,402,1,,1,1,1,28.2,23,78.95,112.2,15-May,25-Apr,
B4I_2025_PM3D_AL_403,737988,SD Momentum,403,1,,1,2,1,,39.3,,138.1,15-May,29-Apr,
B4I_2025_PM3D_AL_404,737983,NO_OATS_PLANTED,404,1,,1,2,2,63.8,,321.7,,8-May,25-Apr,
B4I_2025_PM3D_AL_405,737984,ND190393,405,1,,1,3,2,9.5,43.95,54.85,139,15-May,25-Apr,
B4I_2025_PM3D_AL_406,737977,ND210038,406,1,,1,3,1,16.1,44.5,83.8,133.95,8-May,25-Apr,
B4I_2025_PM3D_AL_407,737980,SD Momentum,407,1,,1,4,1,20,37.45,74.25,125.6,15-May,25-Apr,
B4I_2025_PM3D_AL_408,737994,NO_OATS_PLANTED,408,1,,1,4,2,41.05,,212.9,,8-May,25-Apr,
B4I_2025_PM3D_AL_409,737982,ND210038,409,1,,1,5,2,8.65,56.1,58.65,137.85,8-May,29-Apr,
B4I_2025_PM3D_AL_410,737991,ND190393,410,1,,1,5,1,10.25,34.4,67.55,87.8,8-May,25-Apr,x
B4I_2025_PM3D_AL_411,737990,NO_OATS_PLANTED,411,1,,1,6,1,23.45,,137.55,,8-May,25-Apr,
B4I_2025_PM3D_AL_412,737993,IL17-1704,412,1,,1,6,2,,57,,181.8,8-May,29-Apr,
B4I_2025_PM3D_AL_413,737986,IL17-1704,413,1,,1,7,2,11.7,43.7,70.1,112.75,8-May,25-Apr,
B4I_2025_PM3D_AL_414,737981,ND Spilde,414,1,,1,7,1,4.3,41.35,16.4,112.85,8-May,25-Apr,
B4I_2025_PM3D_AL_415,737985,ND190393,415,1,,1,8,1,,34.7,,117.45,15-May,29-Apr,
B4I_2025_PM3D_AL_416,737976,NO_OATS_PLANTED,416,1,,1,8,2,54.3,,216.7,,8-May,25-Apr,
B4I_2025_PM3D_AL_417,737979,ND Spilde,417,1,,1,9,2,9.7,41.75,66.95,133.75,8-May,25-Apr,
B4I_2025_PM3D_AL_418,737995,ND210038,418,1,,1,9,1,,48.75,,125.45,8-May,29-Apr,
B4I_2025_PM3D_AL_419,737978,IL17-1704,419,1,,1,10,1,8.5,46.35,24.7,147.25,8-May,25-Apr,
B4I_2025_PM3D_AL_420,737987,NO_OATS_PLANTED,420,1,,1,10,2,18.95,,135.7,,8-May,25-Apr,
