current_year,affiliation,timing,plot_id,count,missing,
2025,IA01,1,1.2,4,complete,good
2025,IA01,1,10.1,8,complete,good
2025,IA01,1,11.2,8,complete,good
2025,IA01,1,12.3,4,complete,good
2025,IA01,1,13.1,4,complete,good
2025,IA01,1,14.1,8,complete,good
2025,IA01,1,15.1,4,complete,good
2025,IA01,1,16.1,8,complete,good
2025,IA01,1,17.2,4,complete,good
2025,IA01,1,18.2,8,complete,good
2025,IA01,1,19.1,4,complete,good
2025,IA01,1,2.1,8,complete,good
2025,IA01,1,20.1,8,complete,good
2025,IA01,1,3.1,4,complete,good
2025,IA01,1,4.2,4,complete,good
2025,IA01,1,5.3,8,complete,good
2025,IA01,1,6.1,8,complete,good
2025,IA01,1,7.3,4,complete,good
2025,IA01,1,8.2,8,complete,good
2025,IA01,1,9.2,4,complete,good
2025,IA01,2,1.3,1,image,look for image
2025,IA01,2,10.2,8,complete,good
2025,IA01,2,11.3,8,complete,good
2025,IA01,2,12.1,4,complete,good
2025,IA01,2,13.2,4,complete,good
2025,IA01,2,14.3,8,complete,good
2025,IA01,2,15.3,4,complete,good
2025,IA01,2,16.3,8,complete,good
2025,IA01,2,17.3,4,complete,good
2025,IA01,2,18.1,8,complete,good
2025,IA01,2,19.3,4,complete,good
2025,IA01,2,2.3,8,complete,good
2025,IA01,2,20.3,8,complete,good
2025,IA01,2,3.3,4,complete,good
2025,IA01,2,4.1,4,complete,good
2025,IA01,2,5.1,8,complete,good
2025,IA01,2,6.3,8,complete,good
2025,IA01,2,7.1,4,complete,good
2025,IA01,2,8.3,8,complete,good
2025,IA01,2,9.1,4,complete,good
2025,IA01,3,1.1,4,complete,good
2025,IA01,3,10.3,8,complete,good
2025,IA01,3,11.1,8,complete,good
2025,IA01,3,12.2,4,complete,good
2025,IA01,3,13.3,4,complete,good
2025,IA01,3,14.2,8,complete,good
2025,IA01,3,15.2,4,complete,good
2025,IA01,3,16.2,8,complete,good
2025,IA01,3,17.1,4,complete,good
2025,IA01,3,18.3,8,complete,good
2025,IA01,3,19.2,4,complete,good
2025,IA01,3,2.2,8,complete,good
2025,IA01,3,20.2,8,complete,good
2025,IA01,3,3.2,4,complete,good
2025,IA01,3,4.3,4,complete,good
2025,IA01,3,5.2,8,complete,good
2025,IA01,3,6.2,8,complete,good
2025,IA01,3,7.2,4,complete,good
2025,IA01,3,8.1,8,complete,good
2025,IA01,3,9.3,4,complete,good
